Timestamp,Name (optional),Age (optional),Sex,Q1 : Are you fond of outdoor activities?,Q2 : What outdoor activities do you enjoy? ,"Q3 : During this pandemic, are you still able to do these kinds of activities?",Q4 : How much time are you willing to spend on your preferred outdoor activity?,Q5 : Level of improvement to your physical strength,Q6 : Level of improvement to your mental strength,Q7 : Level of improvement to your social health,"Q8 : As a student, would you recommend doing these outdoor activities to your classmates and even professors?",,,,
9/10/2021 14:39:57,Kyla,,Female,No,"Biking, Jogging",Never,0 - 2 hours a day,5,4,5,Yes,,,,
9/10/2021 14:45:40,,,Male,Yes,Biking,Sometimes,2 - 4 hours a day,3,3,3,Yes,,,,
9/10/2021 14:49:02,Kregkreg,21,Male,Yes,"Jogging, Gym",Yes,2 - 4 hours a day,4,4,5,Yes,,,,
9/10/2021 14:50:20,,,Male,Yes,Biking,Sometimes,As long as I want,5,5,4,Yes,,,,
9/10/2021 14:55:02,,20,Male,Yes,"Biking, Jogging",Sometimes,2 - 4 hours a day,5,5,5,Yes,,,,
9/10/2021 14:56:00,,,Female,Yes,Biking,Sometimes,0 - 2 hours a day,3,3,3,Yes,,,,
9/10/2021 14:56:09,,,Female,No,I don't enjoy them,Sometimes,I am not willing to spend some time,4,4,4,No,,,,
9/10/2021 14:56:13,Girlie,20,Female,Yes,Biking,Never,0 - 2 hours a day,4,4,3,Yes,,,,
9/10/2021 14:56:59,War,,Male,Yes,Biking,Yes,As long as I want,4,4,4,Yes,,,,
9/10/2021 14:57:04,,,Female,No,"Biking, Jogging, Hiking and Camping",Never,2 - 4 hours a day,5,5,5,Yes,,,,
9/10/2021 14:57:49,,,Female,No,Jogging,Never,0 - 2 hours a day,5,4,4,Yes,,,,
9/10/2021 14:58:11,,,Female,Yes,Biking,Never,0 - 2 hours a day,4,4,4,Yes,,,,
9/10/2021 14:58:19,clydong,20,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Yes,0 - 2 hours a day,3,3,4,Yes,,,,
9/10/2021 14:59:20,,,Male,Yes,Biking,Yes,0 - 2 hours a day,5,5,5,Yes,,,,
9/10/2021 15:02:22,,,Male,Yes,Jogging,Sometimes,0 - 2 hours a day,4,4,4,Yes,,,,
9/10/2021 15:06:26,,,Male,Yes,"Biking, Jogging",Never,0 - 2 hours a day,2,1,2,Yes,,,,
9/10/2021 15:16:50,Angie,,Female,Yes,"Biking, Swimming",Sometimes,As long as I want,3,3,3,Yes,,,,
9/10/2021 15:18:56,Jimuel,20,Male,Yes,"Biking, Jogging, Basketball",Yes,2 - 4 hours a day,4,5,5,Yes,,,,
9/10/2021 15:24:33,Ron,22,Male,Yes,"Swimming, Hiking and Camping",Sometimes,2 - 4 hours a day,5,5,5,Yes,,,,
9/10/2021 15:25:22,Jen,20,Female,Yes,"Biking, Jogging, Swimming",Sometimes,2 - 4 hours a day,5,4,5,Yes,,,,
9/10/2021 15:26:01,Sam,21,Male,Yes,"Biking, Jogging, Basketball",Sometimes,As long as I want,5,5,5,Yes,,,,
9/10/2021 16:19:06,Kaye,21,Female,Yes,"Biking, Jogging",Sometimes,0 - 2 hours a day,4,4,5,Yes,,,,
9/10/2021 16:19:46,,20,Male,Yes,"Jogging, Gym",Yes,2 - 4 hours a day,5,4,5,Yes,,,,
9/10/2021 16:20:40,,,Male,Yes,"Biking, Jogging, Gym",Yes,As long as I want,5,5,5,Yes,,,,
9/10/2021 16:25:46,,,Male,Yes,"Biking, Jogging, Hiking and Camping",Yes,As long as I want,5,5,4,Yes,,,,
9/10/2021 16:30:57,Ian,20,Male,Yes,Jogging,Sometimes,2 - 4 hours a day,4,4,4,Yes,,,,
9/10/2021 16:35:32,james,23,Male,Yes,"Biking, Jogging",Yes,As long as I want,4,4,5,Yes,,,,
